电影排名,电影名称,演员列表,年代,类型,评分,评论人数,海报图片
103,看狗在说话,"迈克尔·J·福克斯,莎莉·菲尔德,唐·阿米契,金·格雷斯特,Ed Bernard",1993-02-03,"冒险,剧情,家庭,喜剧",8.7,1081,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508736083.webp
104,超能陆战队,"斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,T·J·米勒,杰米·钟,小达蒙·韦恩斯,珍尼希斯·罗德里格兹,詹姆斯·克伦威尔,艾伦·图代克,玛娅·鲁道夫,亚布拉哈姆·本鲁比,凯蒂·洛斯,比利·布什,丹尼尔·吉尔森,保罗·布里格斯",2015-02-28,"喜剧,动作,科幻,动画,冒险",8.6,390423,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.webp
105,怪兽电力公司,"约翰·古德曼,比利·克里斯托,玛丽·吉布斯,史蒂夫·布西密,詹姆斯·柯本,詹妮弗·提莉,鲍勃·彼德森,约翰·拉岑贝格,弗兰克·奥兹,丹尼尔·吉尔森,邦尼·亨特,杰克·安杰尔,塞缪尔·洛德·布莱克,史蒂夫·萨斯坎德",2001-11-02,"喜剧,动画,儿童,奇幻",8.6,256159,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.webp
106,幸福终点站,"汤姆·汉克斯,凯瑟琳·泽塔-琼斯,斯坦利·图齐,齐·麦克布赖德,迭戈·卢纳,巴里·沙巴卡·亨利,库玛·帕拉纳,佐伊·索尔达娜,埃迪·琼斯,祖德·塞克利拉,科瑞·雷诺兹,古列雷莫·迪亚兹,里尼·贝尔,瓦列里·尼古拉耶夫,迈克尔·诺里",2005-01-14,"喜剧,剧情,爱情",8.6,237893,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792263736.webp
107,无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,杰克·麦克布瑞尔,简·林奇,艾伦·图代克,敏迪·卡灵,乔·洛·特鲁格里奥,艾德·奥尼尔,丹尼斯·海斯伯特,伊迪·迈克莱尔,雷蒙德·S·佩尔西,杰斯·哈梅尔,瑞秋·哈里斯,斯盖拉·阿斯丁,亚当·卡罗拉,霍拉提奥·桑斯,莫里斯·拉马奇,斯戴芬妮·斯考特,约翰·迪·玛吉欧,瑞奇·摩尔,凯蒂·洛斯,贾米·埃曼,乔西·特立尼达,辛贝·沃克,塔克·吉莫尔,布兰登·斯考特,蒂姆·梅尔滕斯,凯文·迪特斯,杰洛·里佛斯,马丁·贾维斯,布莱恩·克辛格,罗杰·克莱格·史密斯,菲尔·约翰斯顿,鲁本·兰登,凯尔·赫伯特,洁米·斯贝勒·罗伯茨,尼克·格里姆肖",2012-11-06,"喜剧,动画,奇幻,冒险",8.6,189842,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.webp
108,海盗电台,"比尔·奈伊,肯尼思·布拉纳,菲利普·塞默·霍夫曼,尼克·弗罗斯特,汤姆·斯图里奇,瑞斯·伊凡斯,瑞斯·达比,克里斯·奥多德,妲露拉·莱莉,凯瑟琳·帕金森,杰克·达文波特",2009-04-01,"剧情,喜剧,音乐",8.6,169244,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p769608791.webp
109,完美陌生人,"马可·贾利尼,卡夏·斯穆特尼亚克,爱德华多·莱奥,阿尔巴·罗尔瓦凯尔,瓦莱里奥·马斯坦德雷亚,安娜·福列塔,朱塞佩·巴蒂斯通",2016-02-11,"剧情,喜剧",8.6,162913,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2365143411.webp
110,小萝莉的猴神大叔,"萨尔曼·汗,哈莎莉·马洛特拉,卡琳娜·卡普尔,纳瓦祖丁·席迪圭,欧姆·普瑞,梅·维贾,席尔帕.舒克拉,拉什·沙玛,沙拉蒂·瑟斯纳,阿图·斯里瓦斯塔瓦,阿德南·萨米,马诺·巴克什",2018-03-02,"剧情,喜剧,动作",8.6,137587,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.webp
111,巴黎淘气帮,"马克西姆·戈达尔,瓦莱丽·勒梅西埃,凯德·麦拉德,桑德琳娜·基贝兰,弗朗索瓦-格扎维埃·德梅松,米歇尔·迪绍苏瓦,Daniel Prévost,米歇尔·加拉布吕,雅尼莫尼,弗朗索瓦·达密安,露易丝·布尔昆,樊尚·克洛德,夏尔·瓦扬,维克托·卡莱斯,本杰明·阿弗蒂,小日尔曼·达米科,达米安·费多尔,维吉尔·蒂拉尔,伊丽莎·欧斯,热拉尔·朱尼奥",2013-02-10,"儿童,喜剧,家庭",8.6,105356,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p465446537.webp
112,上帝也疯狂,"Marius Weyers,Sandra Prinsloo,历苏,Louw Verwey,Michael Thys",1980-09-10,喜剧,8.6,98700,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2173719647.webp
113,蝴蝶,"米歇尔·塞罗尔,柯莱儿·布翁尼许,娜德·蒂约,奥黛丽·玛丽奥,弗朗索瓦·米肖,海伦·伊利,伊蒂格·斯特凡",2002-12-18,"剧情,儿童,喜剧",8.6,95996,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1451436171.webp
114,芝加哥,"蕾妮·齐薇格,凯瑟琳·泽塔-琼斯,理查·基尔,奎恩·拉提法,约翰·C·赖利,刘玉玲,泰雅·迪格斯,克里斯汀·芭伦斯基,多米尼克·威斯特,杰恩·伊斯特伍德",2002-12-27,"喜剧,歌舞,犯罪",8.6,64784,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1571966850.webp
